E-value,score,bias,Sequence,start,end,Description
2.40E-19,82,25.2,2744054970,2068135,2067727,
8.00E-18,76.9,7.3,2603880179,1700174,1699557,
3.30E-16,71.6,0.6,2708742533,1619374,1618768,
2.50E-15,68.7,58.1,2515154089,3810272,3809931,
9.20E-14,63.5,2.3,2740892159,2855093,2854669,
3.00E-13,61.8,15.4,2667527412,7913532,7913644,
9.10E-13,60.2,25.9,2623620524,4962651,4962497,
1.10E-12,60,74.3,2731957609,1335199,1335616,
2.30E-12,58.8,6.1,2708742746,3526972,3526349,
1.10E-11,56.7,2,2681813515,3189946,3189529,
3.50E-11,55,13.4,2675902958,248326,247922,
7.40E-11,53.9,1,2630968578,1341847,1342151,
9.50E-11,53.5,1.1,2551306523,5000830,5001198,
9.50E-11,53.5,1.1,2551306523,5122435,5122067,
9.50E-11,53.5,1.1,2551306523,5203904,5203536,
3.80E-10,51.5,29.6,2643221784,1985663,1985844,
1.00E-09,50.1,18.2,2675902958,249517,249114,
1.50E-09,49.6,49.3,2540341046,2013523,2013812,
1.70E-09,49.4,2.6,2740892159,2854022,2853636,
1.90E-09,49.3,3.7,2681813515,3188919,3188534,
3.30E-09,48.5,20.8,2663762778,844882,844469,
1.60E-08,46.2,4.1,2651870325,1855223,1854662,
2.80E-08,45.4,28.9,2515154197,6295760,6296117,
5.40E-08,44.4,16.2,2521172577,1473464,1473772,
5.40E-08,44.4,16.2,2667527411,1016388,1016696,
8.60E-08,43.8,37.7,2675903050,2597800,2598189,
1.80E-07,42.7,30.6,2681812981,2144691,2145148,
3.90E-07,41.6,2.5,2740892159,4695146,4695512,
6.00E-07,41,12.2,2731957743,1191057,1191238,
7.00E-07,40.8,1.2,2563366573,1685476,1685267,
8.30E-07,40.5,0.7,2563366573,1681063,1680611,
9.00E-07,40.4,27.1,2663763599,3768675,3769075,
1.50E-06,39.7,5.4,2667527381,2503739,2504254,
1.60E-06,39.6,0.8,2597489935,2089815,2090205,
4.60E-06,38.1,0.5,2597489935,2085404,2085613,
1.20E-05,36.6,0.6,2681813515,3190845,3190640,
1.70E-05,36.2,2.3,2515154118,2556613,2556406,
1.80E-05,36.1,7.1,2619619046,3187155,3187435,
2.40E-05,35.7,11.9,2695420928,2193335,2193108,
2.50E-05,35.6,35.9,2651870117,6498430,6498123,
3.40E-05,35.2,2.1,2708742533,6078232,6077824,
0.00013,33.3,1,2740892159,5104523,5104320,
0.00013,33.3,12.9,2540341247,3105017,3104737,
0.00013,33.3,1.2,2740892159,2855945,2855742,
0.00013,33.2,22.4,646564586,2878645,2878934,
0.00014,33.2,5.7,2700988682,1440194,1440483,
0.00019,32.7,10.9,2693429868,1348973,1349282,
0.00022,32.5,20.2,2675903158,3805610,3805906,
0.00026,32.3,46,2651870121,5433094,5432693,
0.00029,32.1,4.7,2700988684,954772,955062,
0.00032,31.9,59.2,2651870121,1575901,1575501,
0.00047,31.4,6.5,2521172622,2690550,2690838,
0.00048,31.4,6.2,2700988690,2223526,2223815,
0.00053,31.2,23.9,2663762775,1039971,1040304,
0.00056,31.2,8.8,2524023210,3016590,3016370,
0.00062,31,19.3,2603880180,1107802,1108110,
0.00062,31,19.3,2681813552,3284083,3283775,
0.00075,30.7,14.2,2667527388,1775072,1775409,
0.00088,30.5,8.5,2561511197,2017326,2017047,
0.0009,30.5,2.7,2645728126,2065025,2065220,
0.001,30.3,3.1,2754412429,3567950,3568195,
0.001,30.3,10.2,2728369379,2813012,2812710,
0.0012,30,7.4,2690316366,6841119,6840923,
0.0013,29.9,21,2634166327,7445158,7445391,
0.0013,29.9,21,2728369078,3168710,3168943,
0.0013,29.9,1.1,2700988687,2952033,2952208,
0.0013,29.9,14,2738541297,2348537,2348775,
0.0013,29.9,14,2738543029,2348537,2348775,
0.0017,29.6,15.2,2518645587,4373016,4372778,
0.0017,29.6,15.2,2596583626,4347085,4347323,
0.0018,29.5,4.7,2519899620,1343137,1342717,
0.0019,29.4,14.7,2643221776,5344194,5344432,
0.002,29.4,0.7,2622736519,680033,679731,
0.0021,29.3,10,2524023228,2174620,2174816,
0.0021,29.3,24.9,2617270884,1888976,1888704,
0.0029,28.8,0.7,2721755521,245400,245698,
0.0032,28.7,4.5,2654587604,2073879,2074177,
0.0032,28.6,21.6,2585427691,1746070,1745832,
0.0034,28.6,6.6,2739367500,4184481,4184892,
0.0035,28.5,9,2675903158,2857352,2857503,
0.0036,28.5,2.7,2622736583,1096430,1096150,
0.004,28.3,4.5,2630968205,4282038,4281965,
0.004,28.3,4.5,2713896884,72273,72200,
0.0041,28.3,5.4,2622736595,1661883,1661624,
0.0044,28.2,3.7,2510065045,1228783,1228894,
0.0044,28.2,3.7,2718217991,458842,458731,
0.0044,28.2,3.7,2718217991,1432932,1432821,
0.0045,28.2,3.6,2517093003,1606412,1606100,
0.0046,28.1,70.1,2623620609,4843637,4843078,
0.0048,28.1,7.9,2671180035,850811,850670,
0.0048,28.1,7.9,2738541271,1595699,1595840,
0.0054,27.9,5.9,2645727597,818933,819005,
0.0057,27.8,12.1,2684623000,5342264,5342027,
0.0059,27.8,0.8,2651870114,858951,859195,
0.0061,27.7,14.9,2681813029,1647150,1647527,
0.0062,27.7,3.8,2599185360,4811274,4811002,
0.0062,27.7,7,2537561814,2420757,2420436,
0.0081,27.3,13.5,2571042815,1350052,1349791,
